agent,cell_line,GR_AOC,sigma_GR_AOC,GRmax,sigma_GRmax,GEC50,sigma_GEC50
Vorinostat,BT474,0.04982615958160415,0.23950063048694895,-0.409901322660501,0.6411097239432243,1.8477226848879889,2.2534065714760048
Vorinostat,BT549,0.18874339327214887,0.017947471199027877,0.11304629962269902,0.02608535490851584,7.963150759369739,6.748115902581706
Vorinostat,CAL120,0.24085248786053448,0.022037624147342325,-0.2280887351571675,0.016800225191228316,2.2034303848153325,0.37880331436025677
Vorinostat,CAL51,0.18616856534327583,0.011042394842396422,-0.05062304948752458,0.01977641684154555,2.339041410952224,0.4776374069401637
Vorinostat,CAL851,0.20081084151718254,0.028601802657907047,-0.18268518072179551,0.027637788812721442,1.428270344301333,0.3292529189629921
Vorinostat,CAMA1,0.38270060350165636,0.12348948446250041,-0.490232427276344,0.03624807287435287,1.6324066469181884,0.20171637508187137
Vorinostat,EFM19,0.16171526885735218,0.09158108976650499,-0.24772707259003565,0.023805187976283563,3.0464378879360052,0.5960789744330576
Vorinostat,EVSAT,0.1897491055646758,0.06256195180801692,-0.4968361866904996,0.05256186013346603,4.493410967118815,1.7820169652812992
Vorinostat,HCC1143,0.2944748659225742,0.04883438563934172,-0.25334332515082625,0.04075213101471329,1.1276276350545167,0.03641812254026587
Vorinostat,HCC1187,0.30314090424773926,0.06761296006893104,-0.4669750808850188,0.0780033387784058,1.419862593469949,0.12665239518547322
Vorinostat,HCC1395,0.09899336519049848,0.09421724275403427,-0.05892828451597118,0.021184006269548,3.7167994140817635,0.1727791448600054
Vorinostat,HCC1419,0.14834821801234904,0.09806828921127872,-0.2557396347550638,0.0700003616778713,2.132492158931379,0.45293961520976056
Vorinostat,HCC1428,0.3391603651440859,0.051698887255215695,-0.47923748890116025,0.029954703328969486,1.371284984272808,0.02885129524063794
Vorinostat,HCC1500,0.3006800453209293,0.10049930389660006,-0.5959995213903063,0.04946033644627947,2.1905641029107557,0.4348741737394821
Vorinostat,HCC1569,0.162670526397058,0.03815471266118353,-0.2944315569486041,0.06076200343389556,6.778395120877532,1.3926316552367208
Vorinostat,HCC1806,0.23971145490560908,0.03887167137886466,0.0178457271190476,0.01926062022148448,1.4190536256831239,0.5925307374868845
Vorinostat,HCC1937,0.1932798244982046,0.03317632165787059,-0.008496898466885077,0.05750260351916963,2.235674547361492,0.6509432747791529
Vorinostat,HCC1954,0.23388884967626733,0.07898426348184823,-0.140098090340914,0.08383949247449926,2.873811152670164,1.6605505267819203
Vorinostat,HCC202,0.20168295744472187,0.16163764449178428,0.10396878161875993,0.03765211109701176,5.4901291692443905,4.835990377107924
Vorinostat,HCC38,0.2841691379799962,0.02083941556015107,-0.2851143723411487,0.05542319581088634,1.3324084726686354,0.06069286875464366
Vorinostat,HCC70,0.38037114794362437,0.03989378199511222,-0.47648529100595627,0.024054776420014266,1.0479313089420743,0.3036305772489659
Vorinostat,HS578T,0.2689244912367593,0.027987853727254576,-0.16886241702889127,0.0547577399566477,1.0620432001153874,0.11291454353543755
Vorinostat,HTERT_HME1,0.1528988888960756,0.10738206496083204,0.05512972355068943,0.02990439914824713,8.114974923256572,5.309541128486548
Vorinostat,MCF10A,0.1675369329913512,0.019616205050711676,0.056625448588448764,0.03530294341277214,3.3289844580980246,0.93797731566544
Vorinostat,MCF12A,0.087358390722195,0.041161812276603746,0.31774402481452385,0.025708089185294707,10.125557289795811,6.81978696854753
Vorinostat,MCF7,0.34938864098314537,0.019232595261112793,-0.175226578277036,0.006879133880457016,0.7276040899800559,0.06566191774850122
Vorinostat,MDAMB157,0.29713725977827476,0.019515995570669412,-0.413033578082258,0.024375986295790623,2.6781128669626946,0.7683831362398839
Vorinostat,MDAMB175VII,0.4447634065978736,0.3186061929530905,-0.8664887764694444,0.040302956464456904,1.8102353332394956,1.1922265048008527
Vorinostat,MDAMB231,0.28211635986096956,0.08732971028907935,-0.38476722916809625,0.008273864675577778,1.815466323959585,0.2085171152004572
Vorinostat,MDAMB330,0.2300988987613717,0.09507332425808286,-0.7063372651661806,0.33097347369015206,2.3754901836957405,0.8307645584419352
Vorinostat,MDAMB361,0.4574114967597013,0.0455422980567849,-0.9391569657449893,0.01885404941006035,1.2159040562455607,0.13846230796951453
Vorinostat,MDAMB415,0.17165025553541136,0.181668978698636,-0.5034673573606893,0.04189381192251146,3.7250245686845367,0.47392153350063143
Vorinostat,MDAMB436,0.16320800806495825,0.05742009466211837,0.033048219459925726,0.08755014756570638,5.695146129306628,5.096992222820336
Vorinostat,MDAMB453,0.26290014764254116,0.08325481887279153,-0.6076328649194451,0.03250808722701189,1.101817089838437,0.08688991975614317
Vorinostat,MDAMB468,0.21718337682849312,0.02384483904049094,-0.11914139911009103,0.02538304191055848,1.8262541540961275,0.09775985856127525
Vorinostat,MGH312,0.3698570226941051,0.2797017256088844,-0.9454487852850365,0.011394802628923357,1.3157322577213966,0.18438821717550458
Vorinostat,PDX1258,0.2112566424529908,0.046869742694425516,-0.02315175607698425,0.045119420320301314,1.8829139894646874,0.3162171168746243
Vorinostat,PDX1328,0.3604669361305552,0.06336011402664515,-0.2851681269426279,0.15200516131046762,1.6099198876663767,1.5791090257856477
Vorinostat,PDXHCI002,0.5448754354338757,0.07201703571382297,-0.5829987549206925,0.007839804865012182,0.4777941793190123,0.034263979874755345
Vorinostat,SKBR3,0.3452503960681895,0.058401200081254157,-0.6321568630200985,0.02554352763486193,1.0546326980271563,0.08587005382455373
Vorinostat,SUM1315,0.16605327203100137,0.028974352741313495,-0.06679282852782875,0.04925012445110267,1.8595309209743596,0.13895391545086533
Vorinostat,SUM149,0.2250482096481579,0.044516412192423443,-0.07038688890084911,0.017767465338318588,1.6744701681980612,0.3262174651967506
Vorinostat,SUM159,0.14836437056479612,0.03999905226026119,0.1807273851905715,0.07063899934375713,8.91045292226763,8.661489039841603
Vorinostat,SUM185PE,0.08349711246060475,0.07726552606243275,0.22225713674245043,0.0920892765781465,6.139751680147349,3.137407484851053
Vorinostat,SUM190PT,0.42579885753913976,0.0640976245244385,-0.43152467415687873,0.12325472761816801,0.7123599670191076,0.031752841285838954
Vorinostat,SUM229PE,0.15294607125742338,0.06595921102065953,-0.0663852388759851,0.06078970267691461,6.477726125518765,3.5313321605869525
Vorinostat,SUM44PE,0.1806802535849339,0.027423762637056228,-0.4266993749329494,0.02889873663345722,3.1459696123779857,0.8177474126622437
Vorinostat,SUM52PE,0.09694181266663981,0.05345134266837902,0.08822429916566384,0.042556143147513575,7.204711447225788,5.526394567755965
Vorinostat,T47D,0.14632999132476365,0.06484259940848595,-0.156709453825908,0.042573808336735526,2.074233166334704,0.28522956126553356
Vorinostat,UACC812,0.39319088553954523,0.1713998868976181,-0.4870068044099079,0.10323960586431793,3.289678626289686,2.8869055049201524
Vorinostat,UACC893,0.16070251112504472,0.17074226569415576,-0.3370961727102006,0.07196056502611256,5.676981790800321,1.3534502978574903
Vorinostat,ZR751,0.03426296571312415,0.06665150912915901,-0.04524422241882935,0.022466903790683227,3.73191162553036,0.42939059359758713
Vorinostat,ZR7530,0.27626850251268265,0.2231811817362507,-0.3180523856447337,0.08219553598915946,1.42572556184337,0.5907853001825814
YKL-5-124,184A1,0.93031534336651,0.011971308241918773,-0.0614763529225666,0.03186966471353543,8.843831867833808e-05,7.315528180596486e-05
YKL-5-124,AU565,0.9867249357318579,0.03350574835691191,-0.4325167404274414,0.22555988457825302,0.046930793406253175,0.04265306970736834
YKL-5-124,BT20,0.6932335183825978,0.011077008893742302,-0.1530112842991969,0.08354952581606305,0.0622233639767004,0.06826414985491189
